Номер,Профиль(ID),Дата,Широта,Долгота,Характеристика,Источник,Детали
1,7,2026.03.01,51.041394, 34.870605,БД,https://t.me/ArmedUnitsUa_add/55?thread=5,тест
2,9,2026.03.03,49.330045,37.763443,БД,https://t.me/ArmedUnitsUa_add/54?thread=8,тест
3,11,2026.03.05,48.550706,37.444839,БД,https://t.me/ArmedUnitsUa_add/53?thread=10,тест 
4,13,2026.03.07,48.592959,37.727051,БД,https://t.me/ArmedUnitsUa_add/52?thread=12,тест
5,8,2026.02.17,50.1813299,37.5197873,ПВД,https://t.me/creamy_caprice/11303,
6,13,2026.02.27,48.5605075,37.7104588,ПВД,https://t.me/creamy_caprice/11372,
7,14,2026.04.21,48.8214766,37.8761680,ПВД,https://t.me/creamy_caprice/11746,
8,20,2026.04.19,51.0166433,35.2519367,ПВД,https://t.me/creamy_caprice/11681,
9,22,2026.02.01,48.5778243,37.7389546,ПВД,https://t.me/creamy_caprice/11172,
10,23,2026.03.12,48.370734,37.078857,ПВД,,25-я бригада
11,25,2026.03.16,51.7822126,34.2548964,ПВД,https://t.me/creamy_caprice/11578,
12,26,2025.12.29,48.5417599,37.6542397,ПВД,,
13,27,2026.03.13,48.7381583,37.7772172,ПВД,https://t.me/creamy_caprice/11469,
14,29,2026.03.26,48.3164022,36.9278996,ПВД,https://t.me/creamy_caprice/11545,
15,31,2026.04.14,49.6984749,37.5941889,ПВД,https://t.me/creamy_caprice/11692,
16,34,2026.01.23,48.5581716,37.6628228,ПВД,https://t.me/creamy_caprice/11094,
17,35,2026.03.28,48.1734267,36.4808527,ПВД,https://t.me/creamy_caprice/11568,
18,36,2026.03.31,48.3815097,37.1093456,ПВД,https://t.me/creamy_caprice/11317,
19,38,2026.04.07,49.6387096,37.6163743,ПВД,https://t.me/creamy_caprice/11646,
20,40,2026.04.17,49.6770197,37.6008032,ПВД,https://t.me/creamy_caprice/11716,
21,41,2026.01.22,48.1998285,36.7470995,ПВД,https://t.me/creamy_caprice/11082,
22,43,2026.02.09,49.6340187,37.6598494,ПВД,https://t.me/creamy_caprice/11239,
23,45,2026.04.17,48.5824374,37.6723656,ПВД,https://t.me/creamy_caprice/11734,
24,47,2026.03.09,48.1824654,36.6750663,ПВД,https://t.me/creamy_caprice/11468,
25,53,2026.04.09,48.8962903,37.8991841,ПВД,https://t.me/creamy_caprice/11666,
26,54,2026.03.31,48.7981227,37.8364989,ПВД,https://t.me/creamy_caprice/11137,
27,55,2026.02.02,47.6018926,35.8899654,ПВД,https://t.me/creamy_caprice/11181,
28,56,2026.01.17,48.3727915,36.9741138,ПВД,https://t.me/creamy_caprice/11030,
29,57,2026.01.09,48.6970253,37.7562949,ПВД,https://t.me/creamy_caprice/10976,
30,59,2026.01.23,50.1791662,36.9010807,ПВД,https://t.me/creamy_caprice/11092,
31,60,2026.01.23,50.1705672,36.9712902,БД,https://t.me/creamy_caprice/11091,1 МБП
32,62,2026.02.22,47.9734216,36.4911674,ПВД,https://t.me/creamy_caprice/11327,
33,63,2026.04.13,49.0000685,37.7616987,ПВД,https://t.me/creamy_caprice/11391,
34,64,2026.03.07,47.9707703,36.4511703,ПВД,https://t.me/creamy_caprice/11431,
35,65,2026.01.23,48.9675292,37.8063307,ПВД,https://t.me/creamy_caprice/11090,
36,66,2026.02.10,47.5697122,35.7786172,ПВД,https://t.me/creamy_caprice/11252,
37,67,2026.01.11,49.2040031,37.5908870,ПВД,https://t.me/creamy_caprice/10989,
38,69,2026.03.23,48.3588364,37.0352253,ПВД,https://t.me/creamy_caprice/11532,
39,70,2026.04.14,51.0694252,34.8705342,ПВД,https://t.me/creamy_caprice/11687,
40,72,2026.03.27,49.4858323,37.6735135,ПВД,https://t.me/creamy_caprice/11560,
41,74,2026.01.17,48.4010438,37.1200772,ПВД,https://t.me/creamy_caprice/11033,
42,76,2026.04.05,48.8732254,37.9023044,ПВД,https://t.me/creamy_caprice/11487,
43,77,2026.01.19,48.3674730,36.9996055,ПВД,https://t.me/creamy_caprice/1105,
44,78,2026.04.21,47.9205774,36.3947313,ПВД,https://t.me/creamy_caprice/11748,
45,79,2026.04.11,48.4936610,37.6044070,БД,https://t.me/creamy_caprice/11224,
46,80,2026.04.06,47.9589122,36.4739139,ПВД,https://t.me/creamy_caprice/11624,
47,81,2026.02.25,48.5462053,37.6587029,ПВД,https://t.me/creamy_caprice/11360,
48,82,2026.04.10,51.7581441,34.2942790,ПВД,https://t.me/creamy_caprice/11664,
49,86,2026.04.02,51.8415927,34.2732265,ПВД,https://t.me/creamy_caprice/11599,
50,87,2026.02.08,50.7975929,35.3189250,ПВД,https://t.me/creamy_caprice/11233,
51,89,2026.03.27,48.3936294,37.1153538,ПВД,https://t.me/c/1932937278/82264,
52,90,2026.03.04,47.5776174,36.0385206,ПВД,https://t.me/creamy_caprice/11409,
53,91,2026.04.19,50.7285126,35.3763457,ПВД,https://t.me/creamy_caprice/11233,
54,91,2026.04.11,48.4955933,37.6010610,ПВД,https://t.me/creamy_caprice/11675,
55,92,2026.01.31,47.7653588,35.9522546,ПВД,https://t.me/creamy_caprice/11167,
56,93,2026.01.17,48.5303192,37.6435355,ПВД,https://t.me/creamy_caprice/11031,
57,95,2026.01.21,50.2990300,37.0672438,ПВД,https://t.me/creamy_caprice/11073,
58,99,2026.02.10,49.4626185,37.6271568,ПВД,https://t.me/creamy_caprice/11253,
59,101,2026.03.15,48.5509210,37.4205418,ПВД,https://t.me/creamy_caprice/11483,
